"商品信息","店铺名","商品ID","日期","交易金额","访客人数","搜索人数","收藏人数","加购人数","支付转化率","支付人数","客单价","uv价值","搜索占比","收藏率","加购率"
"伴手礼女伴娘结婚实用婚礼回礼中国风ins高端礼盒空盒创意小礼品蜜桃手礼","蜜桃手礼","601241078041","2020-04-09 ~ 2020-04-15","4416","864","581","40","61","1.5%","13","340.74","5.11","67.25%","4.63%","7.06%"
"伴手礼女伴娘结婚婚礼小礼品满月回礼生日节庆创意实用喜糖礼盒装范安妮原创婚品设计","范安妮原创婚品设计","613618363202","2020-04-09 ~ 2020-04-15","4139","2642","2068","131","211","2.35%","62","66.66","1.57","78.27%","4.96%","7.99%"
"时尚浪漫婚礼伴郎伴娘伴手礼结婚回礼礼盒装婚庆实用创意成品含糖有样YouYoung礼品","有样YouYoung礼品","609186928722","2020-04-09 ~ 2020-04-15","4070","2360","959","104","216","0.97%","23","177.79","1.72","40.64%","4.41%","9.15%"
"高端结婚伴郎伴手礼女伴娘男士高档实用创意婚礼姐妹团欧式回礼盒RSD高级礼品定制","RSD高级礼品定制","606085733558","2020-04-09 ~ 2020-04-15","4039","1790","912","62","60","0.56%","10","402.93","2.26","50.95%","3.46%","3.35%"
"伴郎伴手礼高档结婚回礼001礼盒高端婚礼商务伴手礼送男朋友礼物婚加Marry Plus","婚加Marry Plus","605622463662","2020-04-09 ~ 2020-04-15","3993","1817","472","51","44","0.33%","6","665.93","2.2","25.98%","2.81%","2.42%"
"伴郎伴手礼男婚礼女伴娘小礼品回礼满月实用伴手礼盒花诗漫伴手礼定制","花诗漫伴手礼定制","596439185450","2020-04-09 ~ 2020-04-15","3830","1541","1009","78","129","1.75%","27","142.02","2.49","65.48%","5.06%","8.37%"
"婚加结婚伴手礼女伴娘创意生日礼物香薰礼盒送闺蜜婚礼回礼婚加Marry Plus","婚加Marry Plus","606000864348","2020-04-09 ~ 2020-04-15","3763","2354","843","66","117","0.34%","8","470.16","1.6","35.81%","2.8%","4.97%"
"创意双层半透明亚克力婚礼伴手礼闺蜜生日礼物盒实用伴娘结婚回礼特薇蒂旗舰店","特薇蒂旗舰店","613707189406","2020-04-09 ~ 2020-04-15","3752","2328","1807","123","151","0.64%","15","251.83","1.61","77.62%","5.28%","6.49%"
"结婚伴手礼女伴娘婚礼回礼篮子送闺蜜生日礼物创意婚礼伴郎礼盒婚加Marry Plus","婚加Marry Plus","605624543305","2020-04-09 ~ 2020-04-15","3707","1797","372","68","77","0.94%","17","219.46","2.06","20.7%","3.78%","4.28%"
"伴手礼结婚实用婚礼女伴娘闺蜜伴郎男回礼礼盒实用高级小礼品木盒景登臻旗舰店","景登臻旗舰店","612074174679","2020-04-09 ~ 2020-04-15","3704","1708","1104","55","107","0.64%","11","338.85","2.17","64.64%","3.22%","6.26%"
"高端男生伴郎伴手礼结婚婚礼兄弟团回礼商务年会新年创意礼品礼盒花朝玥汐婚品设计","花朝玥汐婚品设计","585144275598","2020-04-09 ~ 2020-04-15","3692","852","761","28","60","1.52%","13","285.09","4.33","89.32%","3.29%","7.04%"
"日本樱花蜜 天然樱花蜂蜜百花蜜280g/玻璃瓶装 鲜花酱礼盒装包邮萨丽咔小屋","萨丽咔小屋","590587768728","2020-04-09 ~ 2020-04-15","3666","4560","297","522","475","1.75%","80","45.94","0.8","6.51%","11.45%","10.42%"
"结婚伴手礼女伴娘婚礼喜糖盒宝宝满月伴手礼回礼生日创意实用礼盒heypaper纸遇旗舰店","heypaper纸遇旗舰店","601035784897","2020-04-09 ~ 2020-04-15","3664","958","296","49","82","1.88%","18","203.44","3.82","30.9%","5.11%","8.56%"
"伴娘品牌高端春夏丝绸晨袍伴手礼盒新娘伴娘闺蜜姐妹团女结婚实用伴娘品牌设计师婚品","伴娘品牌设计师婚品","607450016680","2020-04-09 ~ 2020-04-15","3634","1188","877","63","75","0.92%","11","332.49","3.06","73.82%","5.3%","6.31%"
"伴娘伴手礼盒女结婚伴郎走心礼盒创意实用回礼物小礼品花诗漫伴手礼定制","花诗漫伴手礼定制","600508035275","2020-04-09 ~ 2020-04-15","3600","982","748","38","100","2.75%","27","133.31","3.67","76.17%","3.87%","10.18%"
"礼享家复古木盒伴手礼女伴娘婚礼回礼 实用 送女生小礼品生日礼物礼享家Dreamers","礼享家Dreamers","605217117662","2020-04-09 ~ 2020-04-15","3584","2376","450","158","123","0.42%","10","359.15","1.51","18.94%","6.65%","5.18%"
"结婚伴手礼女伴娘满月实用小礼品婚礼节庆男伴郎网红ins回礼闺蜜大黄蜂设计师礼品","大黄蜂设计师礼品","608437798217","2020-04-09 ~ 2020-04-15","3466","1876","271","81","106","0.8%","15","230.94","1.85","14.45%","4.32%","5.65%"
"礼享家2019新品原创森系婚礼伴手礼结婚回礼伴郎伴娘小礼品可定制礼享家Dreamers","礼享家Dreamers","605652016224","2020-04-09 ~ 2020-04-15","3403","913","670","46","76","1.42%","13","262.48","3.73","73.38%","5.04%","8.32%"
"圆形伴手礼盒喜糖盒高档定制结婚礼生日女伴娘礼品手提红色空盒子遇见喜洋洋高端定制","遇见喜洋洋高端定制","590699733450","2020-04-09 ~ 2020-04-15","3264","1259","554","56","118","2.3%","29","112.72","2.59","44%","4.45%","9.37%"
"伴娘伴手礼女结婚礼物回礼品小ins创意闺蜜生日宝宝满月礼盒高端艾唯一家居专营店","艾唯一家居专营店","602216286607","2020-04-09 ~ 2020-04-15","3238","1922","148","73","69","0.52%","10","323.98","1.68","7.7%","3.8%","3.59%"
"晨袍结婚婚礼姐妹团伴手礼女伴娘走心礼盒高档实用创意回礼高端RSD高级礼品定制","RSD高级礼品定制","606416498956","2020-04-09 ~ 2020-04-15","3223","875","480","21","42","0.34%","3","1083.36","3.68","54.86%","2.4%","4.8%"
"结婚伴手礼女伴娘婚礼回礼宝宝满月周岁10岁实用生日礼物女生闺蜜明云旗舰店","明云旗舰店","608031215584","2020-04-09 ~ 2020-04-15","3195","741","597","21","61","1.21%","9","356.34","4.31","80.57%","2.83%","8.23%"
"木质盒子结婚伴手礼中国风高档喜糖礼盒装闺蜜女伴娘中式节庆回礼范妮范旗舰店","范妮范旗舰店","577614574574","2020-04-09 ~ 2020-04-15","3184","1974","1465","71","123","0.86%","17","187.55","1.61","74.21%","3.6%","6.23%"
"云上故事婚礼伴手礼盒 伴娘小礼品结婚回礼品盒 送女生礼物包装盒云上故事","云上故事","599921836729","2020-04-09 ~ 2020-04-15","3154","1322","193","84","81","0.6%","8","397.63","2.39","14.6%","6.35%","6.13%"
"网红ins风伴手礼结婚创意实用婚礼回礼伴郎伴娘女高端走心礼品盒花朝玥汐婚品设计","花朝玥汐婚品设计","610095639053","2020-04-09 ~ 2020-04-15","3140","754","612","31","62","1.72%","13","242.12","4.16","81.17%","4.11%","8.22%"
"INS 创意mini绒布圆筒礼盒 喜糖盒结婚伴手礼回礼 生日礼物盒特薇蒂旗舰店","特薇蒂旗舰店","602868430449","2020-04-09 ~ 2020-04-15","3057","2466","375","154","144","0.69%","17","179.66","1.24","15.21%","6.24%","5.84%"
"实用结婚伴手礼女伴娘伴郎节庆小礼物生日回礼满月礼盒婚礼小礼品嫁得好喜品","嫁得好喜品","596947964696","2020-04-09 ~ 2020-04-15","3044","717","246","37","82","3.77%","27","112.61","4.25","34.31%","5.16%","11.44%"
"节庆结婚伴手礼伴娘闺蜜女伴郎男宾客回礼创意高档高级礼盒空盒鲸喜手礼","鲸喜手礼","613841994199","2020-04-09 ~ 2020-04-15","2935","806","393","49","67","1.74%","14","209.28","3.64","48.76%","6.08%","8.31%"
"结婚婚礼伴手礼女伴娘ins郎实用情人节礼盒小礼品回礼物创意高端壤歌家居专营店","壤歌家居专营店","590347709204","2020-04-09 ~ 2020-04-15","2926","1115","159","49","65","0.98%","11","267.78","2.62","14.26%","4.39%","5.83%"
"结婚伴手礼女伴娘伴郎生日礼物女创意实用ins闺蜜团婚礼回礼礼盒艾兰の伴手礼","艾兰の伴手礼","610734147486","2020-04-09 ~ 2020-04-15","2834","1392","642","75","119","1.22%","17","166.88","2.04","46.12%","5.39%","8.55%"
"婚礼回礼结婚礼物节庆伴手礼女伴娘礼盒高档实用男士伴郎送客人RSD高级礼品定制","RSD高级礼品定制","614733294737","2020-04-09 ~ 2020-04-15","2772","2173","1037","96","94","0.41%","9","311.14","1.28","47.72%","4.42%","4.33%"
"实惠创意伴手礼配件活动小礼物物件小罐玻璃瓶装玫瑰花茶茉莉送礼时光伊人喜品","时光伊人喜品","605697234088","2020-04-09 ~ 2020-04-15","2758","1438","902","130","237","2.92%","42","65.68","1.92","62.73%","9.04%","16.48%"
"创意网红结婚伴手礼盒喜糖盒回礼手拎小号装糖果实用包装礼品盒子喜的良品旗舰店","喜的良品旗舰店","611229798565","2020-04-09 ~ 2020-04-15","2678","10549","1210","502","451","0.46%","49","55.19","0.25","11.47%","4.76%","4.28%"
"网红款礼盒成品结婚伴娘礼回礼送闺蜜生日女友创意节日礼物盒喜孜孜圆圆专卖店","喜孜孜圆圆专卖店","586298338439","2020-04-09 ~ 2020-04-15","2668","1508","850","39","98","0.99%","15","178.71","1.77","56.37%","2.59%","6.5%"
"姐妹团网红森系多肉伴手礼婚礼伴娘伴郎回礼结婚小礼物保温杯礼盒love plus 为爱加分","love plus 为爱加分","581511988215","2020-04-09 ~ 2020-04-15","2617","1198","556","50","78","0.58%","7","376.63","2.18","46.41%","4.17%","6.51%"
"结婚喜糖回礼盒装成品婚礼伴手女伴娘实用走心十周岁宝宝生日礼品红妆阁家居旗舰店","红妆阁家居旗舰店","607283106704","2020-04-09 ~ 2020-04-15","2564","923","607","39","103","1.73%","16","160.57","2.78","65.76%","4.23%","11.16%"
"伴娘伴手礼女结婚小礼品实用男伴郎婚礼高端创意婚礼回礼生日礼物花诗漫伴手礼定制","花诗漫伴手礼定制","597628577235","2020-04-09 ~ 2020-04-15","2539","777","369","35","69","2.7%","21","121.03","3.27","47.49%","4.5%","8.88%"
"节庆婚礼伴手礼礼盒高端实用创意生日伴娘高档朋友结婚回礼小礼品艾尚陶艺生活馆","艾尚陶艺生活馆","595970335675","2020-04-09 ~ 2020-04-15","2504","829","350","59","81","1.69%","14","178.73","3.02","42.22%","7.12%","9.77%"
"高档结婚伴手礼女伴娘婚礼物实用高端回礼盒创意闺蜜情人生日欧式私人高端婚庆生日伴手礼品","私人高端婚庆生日伴手礼品","610686935208","2020-04-09 ~ 2020-04-15","2463","671","292","30","47","1.49%","10","246.35","3.67","43.52%","4.47%","7%"
"伴手礼女伴娘送女生的生日礼物走心手提藤编礼盒空盒结婚回礼套装纯恋高端伴手礼婚品","纯恋高端伴手礼婚品","614774419210","2020-04-09 ~ 2020-04-15","2413","606","365","23","46","1.48%","9","269.04","3.98","60.23%","3.8%","7.59%"
"拉芙里伴手礼盒空盒女伴娘结婚实用婚礼ins网红高档欧式走心礼盒拉芙礼礼手作礼品","拉芙礼礼手作礼品","603007263674","2020-04-09 ~ 2020-04-15","2164","1106","378","66","108","1.26%","14","155.29","1.96","34.18%","5.97%","9.76%"
"保险公司开门红活动送客户伴手礼实用创意小礼品定制结婚寿宴回礼天狮陶瓷礼品批发","天狮陶瓷礼品批发","562690616168","2020-04-09 ~ 2020-04-15","2110","1771","67","23","48","0.68%","12","175.21","1.19","3.78%","1.3%","2.71%"
"中式复古结婚伴手礼女伴娘闺蜜实用女生朋友生日礼物同学口红礼盒有样YouYoung礼品","有样YouYoung礼品","591389467262","2020-04-09 ~ 2020-04-15","2099","2405","1260","107","82","0.29%","7","300.95","0.87","52.39%","4.45%","3.41%"
"Forus原创森林系婚礼伴手礼宾客宝宝生日百日宴回礼伴娘手礼Forus婚品设计馆","Forus婚品设计馆","597346573921","2020-04-09 ~ 2020-04-15","2092","2071","576","133","94","0.92%","19","109.8","1.01","27.81%","6.42%","4.54%"
"生日快乐面条印字长寿面情侣生日祝福创意刻字面条老人寿宴礼物品森诺艺雕","森诺艺雕","609184413769","2020-04-09 ~ 2020-04-15","2087","2634","442","201","224","1.9%","50","41.7","0.79","16.78%","7.63%","8.5%"
"创意ins婚礼伴娘伴手礼女结婚回礼闺蜜少女心生日礼盒化妆箱特薇蒂旗舰店","特薇蒂旗舰店","590733027057","2020-04-09 ~ 2020-04-15","2068","12595","1015","429","348","0.06%","8","273.65","0.16","8.06%","3.41%","2.76%"
"ins风伴郎伴手礼盒 伴手礼男士商务礼盒年会礼盒毛巾水杯香水蜡烛曦然嘉品","曦然嘉品","595298072694","2020-04-09 ~ 2020-04-15","2051","1138","329","39","60","1.14%","13","158.1","1.8","28.91%","3.43%","5.27%"
"创意生日情人节礼物结婚伴手礼女伴娘回礼实用婚礼小礼品送闺蜜喜友记旗舰店","喜友记旗舰店","559381835166","2020-04-09 ~ 2020-04-15","2050","617","512","36","65","5.19%","32","64.02","3.32","82.98%","5.83%","10.53%"
"【新品】「上下」霁月香茗一茶一杯限定红茶叶礼盒红茶年商务礼品上下官方旗舰店","上下官方旗舰店","610916726621","2020-04-09 ~ 2020-04-15","2040","12190","329","216","79","0.03%","4","557.83","0.17","2.7%","1.77%","0.65%"
"创意ins节庆伴手礼女伴娘结婚实用满月回礼盒婚礼闺蜜网红小礼品幸福晒官方店","幸福晒官方店","609455185404","2020-04-09 ~ 2020-04-15","2026","1148","211","52","82","1.39%","16","126.96","1.76","18.38%","4.53%","7.14%"
"森系高端实用女伴娘伴手礼姐妹团三八节网红结婚回礼新娘礼物礼盒花田囍礼","花田囍礼","602015100366","2020-04-09 ~ 2020-04-15","2019","631","458","15","40","1.27%","8","251.94","3.2","72.58%","2.38%","6.34%"
"口红礼盒子姐妹团新娘惊喜结婚女伴娘高端伴手礼实用小礼品物创意巧礼屋旗舰店","巧礼屋旗舰店","601671702381","2020-04-09 ~ 2020-04-15","2004","3915","1844","164","179","0.3%","12","170.63","0.51","47.1%","4.19%","4.57%"
"结婚回礼送闺蜜伴手礼女伴娘创意实用高档婚礼礼物满月回礼礼品盒有乐居家日用旗舰店","有乐居家日用旗舰店","602465089268","2020-04-09 ~ 2020-04-15","1970","985","861","29","60","1.11%","11","180.18","2","87.41%","2.94%","6.09%"
"生日礼物女创意实用开业伴手礼女伴娘结婚礼物伴娘回礼盒梦幻超仙Born to Love","Born to Love","599541627048","2020-04-09 ~ 2020-04-15","1898","8781","212","358","203","0.21%","18","102.93","0.22","2.41%","4.08%","2.31%"
"毛巾伴手礼女伴娘实用伴郎结婚满月回礼盒婚礼生日创意闺蜜浪漫嘻嘻礼","嘻嘻礼","610716769262","2020-04-09 ~ 2020-04-15","1889","631","564","22","39","1.58%","10","189.47","2.99","89.38%","3.49%","6.18%"
"日本樱花蜜 天然樱花蜂蜜百花蜜125g/玻璃瓶装 鲜花酱礼盒装包邮萨丽咔小屋","萨丽咔小屋","590866582959","2020-04-09 ~ 2020-04-15","1868","7319","231","984","824","1.06%","78","24.08","0.26","3.16%","13.44%","11.26%"
"婚礼伴郎伴手礼女伴娘闺蜜实用结婚生日礼物定制回礼创意小礼品盒有样YouYoung礼品","有样YouYoung礼品","580119776094","2020-04-09 ~ 2020-04-15","1843","1030","389","59","108","1.65%","17","108.44","1.79","37.77%","5.73%","10.49%"
"爱的博物馆木质伴手礼盒结婚回礼伴郎伴娘小礼品周岁满月伴手礼盒爱的博物馆","爱的博物馆","601636893642","2020-04-09 ~ 2020-04-15","1767","724","294","20","40","1.24%","9","196.82","2.44","40.61%","2.76%","5.52%"
"南方手作婚礼伴手礼女伴娘盒结婚伴郎小礼品女生礼物包装盒子篮子南方手作礼","南方手作礼","603965244663","2020-04-09 ~ 2020-04-15","1757","1115","838","95","123","1.52%","17","103.67","1.58","75.16%","8.52%","11.03%"
"婚礼姐妹团结婚晨袍伴娘女伴手礼走心礼盒小礼物高端实用创意定制RSD高级礼品定制","RSD高级礼品定制","596686693278","2020-04-09 ~ 2020-04-15","1746","3148","367","101","68","0.1%","3","554.64","0.55","11.66%","3.21%","2.16%"
"伴手礼女伴娘结婚实用婚礼盒小礼品节庆闺蜜新娘创意高端满月回礼礼物盒直销厂家","礼物盒直销厂家","601058358664","2020-04-09 ~ 2020-04-15","1731","904","410","47","48","1.66%","15","115.35","1.91","45.35%","5.2%","5.31%"
"花帖田园风个性复古结婚婚礼伴娘伴娘宾客宝宝满月生日回礼伴手礼花帖工作室","花帖工作室","607131324580","2020-04-09 ~ 2020-04-15","1729","3157","128","132","136","0.31%","10","176.67","0.55","4.05%","4.18%","4.31%"
"Springkle 原创设计婚庆网纱圆木盒新娘伴手礼盒空盒新娘回礼盒Springkle春色婚礼定制","Springkle春色婚礼定制","602946267929","2020-04-09 ~ 2020-04-15","1711","1407","244","65","87","0.85%","12","143.07","1.22","17.34%","4.62%","6.18%"
"伴郎伴手礼男士结婚回礼高端年会礼盒送男友生日礼物盒伴娘伴手礼MIUI米柚创意婚品","MIUI米柚创意婚品","610067828944","2020-04-09 ~ 2020-04-15","1672","2357","447","105","67","0.13%","3","545.67","0.71","18.96%","4.45%","2.84%"
"高档皮箱伴手礼盒成品回礼结婚礼生日企业送礼包含零食大礼包空盒遇见喜洋洋高端定制","遇见喜洋洋高端定制","541200955345","2020-04-09 ~ 2020-04-15","1606","894","221","43","79","2.24%","20","80.2","1.8","24.72%","4.81%","8.84%"
"爱的博物馆森系婚礼伴手礼盒伴娘伴手礼结婚回礼小礼品小清新风格爱的博物馆","爱的博物馆","603411679475","2020-04-09 ~ 2020-04-15","1570","1003","595","56","66","1.59%","16","98.45","1.57","59.32%","5.58%","6.58%"
"节庆伴手礼男伴郎伴娘女高档实用婚礼男士结婚回礼随手礼盒小礼物心礼 礼品","心礼 礼品","601868633905","2020-04-09 ~ 2020-04-15","1570","593","337","22","53","2.02%","12","131.07","2.65","56.83%","3.71%","8.94%"
"结婚男士伴手礼男伴郎儿时回忆礼品礼物伴手礼回礼游戏机生日礼盒LOVEME婚品定制","LOVEME婚品定制","596962970110","2020-04-09 ~ 2020-04-15","1499","599","517","32","38","0.83%","5","301.51","2.5","86.31%","5.34%","6.34%"
"复古风小红书实用结婚送伴娘伴手礼礼盒回礼闺蜜女朋友生日礼物女颜语旗舰店","颜语旗舰店","606276956147","2020-04-09 ~ 2020-04-15","1490","1346","465","57","86","0.29%","4","381.72","1.11","34.55%","4.23%","6.39%"
"伴手礼盒送女友婚礼伴手礼伴娘口红生日礼物盒礼品包装喜糖盒子大喜的良品旗舰店","喜的良品旗舰店","601086946636","2020-04-09 ~ 2020-04-15","1487","2435","782","116","153","0.78%","19","78.29","0.61","32.11%","4.76%","6.28%"
"伴手礼女伴娘结婚实用婚礼小礼品伴郎礼盒ins风高端回礼创意走心吉上吉伴手礼","吉上吉伴手礼","609366061476","2020-04-09 ~ 2020-04-15","1475","1333","389","47","91","1.2%","16","92.21","1.11","29.18%","3.53%","6.83%"
"樱花酒饮料日本奈良樱花甜酒玻璃瓶礼盒355ml少女心生日圣诞礼物萨丽咔小屋","萨丽咔小屋","599960803123","2020-04-09 ~ 2020-04-15","1468","3291","69","378","299","1.18%","39","37.8","0.45","2.1%","11.49%","9.09%"
"玫瑰花云南基地直发稀有品种玫瑰AB级可家鲜花斗南直销","可家鲜花斗南直销","611671016982","2020-04-09 ~ 2020-04-15","1459","3101","30","77","187","0.8%","25","58.81","0.47","0.97%","2.48%","6.03%"
"结婚礼盒高端礼品礼物实用婚礼闺蜜空盒回礼走心生日伴手礼伴娘女囍糖屋","囍糖屋","601618601076","2020-04-09 ~ 2020-04-15","1433","2379","573","131","274","2.6%","62","23.17","0.6","24.09%","5.51%","11.52%"
"ychee结婚定制伴手礼礼盒女伴娘高档实用回礼创意伴郎婚礼礼物ychee旗舰店","ychee旗舰店","606684858288","2020-04-09 ~ 2020-04-15","1388","2295","546","53","92","0.48%","11","126","0.6","23.79%","2.31%","4.01%"
"结婚闺蜜团伴郎伴手礼女伴娘高档实用婚礼节庆小礼品满月回礼礼盒双木礼盒","双木礼盒","614440033169","2020-04-09 ~ 2020-04-15","1382","1249","429","45","106","1.12%","14","98.79","1.11","34.35%","3.6%","8.49%"
"透明亚克力伴娘伴手礼盒星球结婚礼物盒喜糖包装盒子高档婚庆用品springkle旗舰店","springkle旗舰店","606951278248","2020-04-09 ~ 2020-04-15","1325","12904","776","648","267","0.16%","21","64.18","0.1","6.01%","5.02%","2.07%"
"婚加生日礼物结婚创意伴郎礼盒香薰闺蜜伴手礼女伴娘婚礼礼盒婚加Marry Plus","婚加Marry Plus","595500152628","2020-04-09 ~ 2020-04-15","1303","1173","329","34","47","0.68%","8","163.36","1.11","28.05%","2.9%","4.01%"
"婚礼伴手礼女伴娘伴郎结婚回礼送闺蜜创意礼盒高档实用小礼品商务爱布妮旗舰店","爱布妮旗舰店","590350123609","2020-04-09 ~ 2020-04-15","1302","1484","719","45","75","0.47%","7","186.67","0.88","48.45%","3.03%","5.05%"
"创意新娘伴手礼女伴娘婚礼结婚回礼闺蜜实用高档生日杯子礼物礼盒艾尚陶艺生活馆","艾尚陶艺生活馆","602000637912","2020-04-09 ~ 2020-04-15","1296","4648","246","218","232","0.19%","9","146.75","0.28","5.29%","4.69%","4.99%"
"结婚婚礼喜糖盒礼盒装伴手礼女伴娘小礼品满月伴手礼盒仿木盒特薇蒂旗舰店","特薇蒂旗舰店","601783608705","2020-04-09 ~ 2020-04-15","1281","4419","439","240","177","0.36%","16","80.52","0.29","9.93%","5.43%","4.01%"
"结婚伴手礼女伴娘宝宝满月百日宴创意实用回礼生日周岁礼盒马克杯囍达屋伴手礼","囍达屋伴手礼","606799537388","2020-04-09 ~ 2020-04-15","1276","788","91","19","53","1.27%","10","127.5","1.62","11.55%","2.41%","6.73%"
"创意伴手礼生日礼物送女生闺蜜相机礼盒结婚伴娘回礼婚礼小礼品庆梵艾旗舰店","梵艾旗舰店","613326553289","2020-04-09 ~ 2020-04-15","1242","776","753","40","54","1.03%","8","155.39","1.6","97.04%","5.15%","6.96%"
"伴手礼女伴娘新娘结婚回礼闺蜜伴郎高档实用创意特别女生日ins风爱尔影像一号店","爱尔影像一号店","610495042973","2020-04-09 ~ 2020-04-15","1234","905","230","32","53","0.99%","9","137.73","1.36","25.41%","3.54%","5.86%"
"结婚伴手礼批發伴娘伴郎随手礼定制logo婚庆公司年会活动奖品礼品呐良礼品批发","呐良礼品批发","597205785629","2020-04-09 ~ 2020-04-15","1177","1835","460","86","196","0.92%","17","69.72","0.64","25.07%","4.69%","10.68%"
"现货！茶颜悦色习惯茶淘淘乌龙懒懒乌龙爷爷乌龙蜜桃乌龙大发海淘","大发海淘","605633298322","2020-04-09 ~ 2020-04-15","1171","632","480","13","97","5.22%","33","35.5","1.85","75.95%","2.06%","15.35%"